location_id,timestamp,temperature_c,humidity,weather_condition
8,2024-01-03T10:07:37Z,-1.2,32.01,Cloudy
2,2024-01-29T04:45:13Z,13.06,74.0,Snowy
2,2024-01-08T22:28:15Z,30.41,42.06,Rainy
7,2024-01-29T22:14:34Z,-4.73,1.34,Rainy
3,2024-01-02T02:35:19Z,-5.12,22.94,Rainy
6,2024-01-08T18:22:22Z,33.6,71.52,Cloudy
6,2024-01-18T21:56:20Z,23.51,16.97,Sunny
4,2024-01-27T09:57:51Z,36.67,44.79,Sunny
6,2024-01-11T21:13:21Z,-6.25,99.98,Rainy
4,2024-01-16T07:47:32Z,-8.37,3.76,Sunny
3,2024-01-04T14:45:42Z,24.71,47.64,Rainy
1,2024-01-09T22:50:00Z,9.41,19.92,Cloudy
7,2024-01-18T13:23:09Z,-7.35,73.48,Snowy
8,2024-01-06T03:01:59Z,16.19,89.43,Cloudy
6,2024-01-24T10:01:26Z,-3.81,0.05,Snowy
2,2024-01-13T13:56:27Z,27.23,9.46,Sunny
7,2024-01-22T09:54:54Z,24.75,77.79,Sunny
1,2024-01-12T06:36:31Z,33.15,12.27,Cloudy
6,2024-01-11T13:29:27Z,17.5,36.8,Sunny
8,2024-01-07T03:16:05Z,12.96,69.38,Sunny
5,2024-01-03T12:21:58Z,28.29,19.53,Snowy
7,2024-01-25T21:10:09Z,-2.22,47.53,Snowy
4,2024-01-27T21:14:13Z,15.16,91.01,Sunny
8,2024-01-05T02:33:07Z,32.33,54.08,Sunny
3,2024-01-26T16:02:55Z,13.78,65.56,Cloudy
8,2024-01-30T14:33:42Z,26.74,22.35,Sunny
3,2024-01-02T03:32:34Z,-3.72,83.64,Sunny
1,2024-01-19T07:19:22Z,-4.13,98.33,Snowy
2,2024-01-27T08:57:01Z,12.69,93.42,Snowy
6,2024-01-01T12:49:01Z,37.27,9.37,Rainy
1,2024-01-08T13:30:45Z,-8.92,60.06,Sunny
7,2024-01-10T10:10:55Z,36.51,28.96,Sunny
8,2024-01-08T23:22:03Z,1.29,81.1,Snowy
4,2024-01-16T06:57:38Z,4.49,26.34,Sunny
5,2024-01-20T19:56:45Z,2.98,47.1,Rainy
5,2024-01-07T20:42:58Z,18.42,64.01,Snowy
2,2024-01-06T21:01:18Z,37.43,44.35,Cloudy
5,2024-01-30T15:21:39Z,30.74,29.86,Rainy
8,2024-01-04T03:59:17Z,33.34,23.29,Snowy
7,2024-01-02T18:28:50Z,23.69,38.5,Cloudy
2,2024-01-08T19:28:16Z,23.48,19.68,Cloudy
5,2024-01-18T08:13:57Z,13.14,30.05,Cloudy
5,2024-01-27T17:47:17Z,26.45,42.42,Cloudy
6,2024-01-09T17:20:15Z,32.36,53.69,Cloudy
6,2024-01-11T23:19:28Z,7.48,67.66,Snowy
5,2024-01-03T15:22:36Z,31.06,15.34,Sunny
8,2024-01-12T07:55:56Z,-3.1,53.87,Rainy
8,2024-01-12T17:00:27Z,33.55,20.34,Cloudy
3,2024-01-05T08:19:36Z,39.88,49.14,Rainy
2,2024-01-25T19:48:54Z,-2.23,45.79,Cloudy
3,2024-01-30T10:14:57Z,39.63,50.69,Cloudy
5,2024-01-18T00:11:54Z,-2.05,38.41,Cloudy
5,2024-01-06T23:46:53Z,7.4,40.02,Sunny
2,2024-01-17T12:16:51Z,12.82,14.84,Cloudy
2,2024-01-26T23:18:20Z,9.26,79.78,Cloudy
8,2024-01-30T01:05:56Z,11.9,71.82,Sunny
2,2024-01-23T09:26:32Z,11.78,2.43,Sunny
3,2024-01-09T15:43:34Z,29.47,49.06,Snowy
6,2024-01-06T02:57:33Z,2.24,21.62,Snowy
4,2024-01-01T12:08:15Z,19.12,84.46,Sunny
7,2024-01-17T05:53:46Z,-1.14,8.84,Rainy
3,2024-01-26T17:22:41Z,0.4,26.3,Sunny
3,2024-01-12T13:05:30Z,8.14,43.93,Rainy
7,2024-01-30T22:40:35Z,3.44,35.64,Rainy
2,2024-01-06T08:17:31Z,2.59,7.04,Snowy
7,2024-01-17T08:15:40Z,31.95,94.12,Snowy
4,2024-01-21T14:15:33Z,-6.95,50.83,Snowy
7,2024-01-06T02:58:36Z,33.44,0.14,Snowy
5,2024-01-07T16:13:06Z,9.91,93.2,Sunny
5,2024-01-14T13:55:28Z,23.43,46.4,Rainy
6,2024-01-01T02:22:58Z,21.63,99.55,Cloudy
1,2024-01-02T03:11:24Z,-7.16,34.67,Snowy
7,2024-01-26T18:04:07Z,23.08,38.13,Rainy
4,2024-01-04T04:10:48Z,29.62,80.07,Cloudy
7,2024-01-23T17:51:08Z,5.2,30.39,Cloudy
6,2024-01-14T06:10:45Z,-0.9,0.55,Rainy
8,2024-01-17T16:28:14Z,36.43,61.43,Rainy
7,2024-01-20T04:48:20Z,13.21,90.14,Rainy
6,2024-01-10T13:27:22Z,-3.36,7.98,Sunny
4,2024-01-13T14:51:34Z,-9.53,20.76,Snowy
7,2024-01-21T18:29:57Z,23.58,25.59,Sunny
7,2024-01-22T23:48:00Z,28.73,95.75,Snowy
8,2024-01-12T03:58:12Z,15.08,73.77,Snowy
5,2024-01-10T11:00:11Z,30.45,11.08,Cloudy
7,2024-01-11T10:51:50Z,19.18,26.53,Snowy
8,2024-01-16T05:18:43Z,-3.19,49.87,Sunny
5,2024-01-26T12:37:11Z,12.81,42.52,Cloudy
1,2024-01-17T07:17:44Z,-2.76,38.59,Sunny
7,2024-01-05T01:47:06Z,6.3,63.46,Rainy
3,2024-01-26T20:44:20Z,12.63,3.49,Sunny
6,2024-01-05T19:16:02Z,2.4,23.08,Sunny
1,2024-01-03T02:47:45Z,4.84,75.76,Snowy
2,2024-01-02T15:18:46Z,17.17,93.15,Cloudy
4,2024-01-18T07:52:48Z,23.08,2.9,Snowy
7,2024-01-02T09:19:54Z,25.95,36.42,Sunny
2,2024-01-26T05:40:44Z,-7.13,42.53,Snowy
3,2024-01-21T01:34:56Z,15.47,45.67,Cloudy
6,2024-01-08T23:53:00Z,17.54,80.62,Snowy
4,2024-01-09T05:45:26Z,26.05,49.73,Sunny
8,2024-01-26T21:12:22Z,19.18,45.5,Cloudy
7,2024-01-20T14:36:36Z,17.79,88.96,Snowy
5,2024-01-05T16:29:35Z,36.22,81.48,Cloudy
3,2024-01-16T05:07:52Z,10.69,6.5,Cloudy
5,2024-01-22T18:59:17Z,-2.77,14.69,Cloudy
4,2024-01-29T09:01:21Z,32.87,28.84,Sunny
1,2024-01-06T21:38:18Z,1.19,91.61,Rainy
8,2024-01-25T19:27:17Z,0.45,54.88,Snowy
6,2024-01-21T21:37:23Z,15.3,36.28,Rainy
5,2024-01-26T15:10:33Z,-3.85,97.59,Snowy
4,2024-01-16T09:32:42Z,31.13,14.06,Snowy
8,2024-01-23T03:53:08Z,31.58,37.94,Sunny
5,2024-01-22T19:10:15Z,8.2,72.58,Snowy
4,2024-01-09T00:24:13Z,-3.15,75.55,Rainy
6,2024-01-03T11:04:43Z,10.23,36.42,Sunny
3,2024-01-22T10:57:55Z,-4.23,12.31,Sunny
6,2024-01-01T11:31:16Z,7.49,28.31,Rainy
5,2024-01-26T18:52:08Z,29.54,98.86,Snowy
8,2024-01-05T23:02:28Z,-3.04,79.17,Cloudy
7,2024-01-18T16:34:20Z,-4.87,40.41,Rainy
3,2024-01-20T15:08:02Z,28.77,71.53,Sunny
3,2024-01-07T22:52:22Z,18.06,71.12,Rainy
7,2024-01-22T22:43:51Z,18.91,73.18,Rainy
5,2024-01-16T00:23:48Z,36.03,88.81,Rainy
2,2024-01-28T02:01:11Z,6.36,77.12,Cloudy
3,2024-01-20T19:08:56Z,29.78,55.0,Sunny
5,2024-01-28T14:32:56Z,-9.95,34.3,Cloudy
1,2024-01-21T02:18:12Z,34.85,67.44,Snowy
7,2024-01-12T04:17:18Z,36.22,41.97,Sunny
8,2024-01-10T14:57:45Z,-5.78,6.09,Snowy
4,2024-01-23T12:00:06Z,9.58,37.43,Rainy
3,2024-01-16T19:37:08Z,10.23,20.29,Rainy
1,2024-01-09T11:54:14Z,2.87,35.63,Cloudy
8,2024-01-15T21:50:02Z,13.75,70.96,Snowy
7,2024-01-17T01:12:58Z,-3.68,4.9,Cloudy
7,2024-01-14T04:35:48Z,32.54,64.46,Sunny
8,2024-01-20T09:03:50Z,15.21,74.2,Cloudy
2,2024-01-04T15:30:08Z,31.36,89.41,Snowy
1,2024-01-17T02:24:07Z,38.4,65.79,Sunny
6,2024-01-08T18:21:58Z,12.91,92.74,Sunny
6,2024-01-08T01:27:09Z,31.5,60.21,Cloudy
2,2024-01-30T10:43:43Z,-7.09,62.93,Cloudy
2,2024-01-18T11:27:08Z,29.15,87.62,Snowy
8,2024-01-07T00:01:05Z,31.11,28.71,Rainy
3,2024-01-23T14:33:04Z,18.79,67.69,Snowy
6,2024-01-03T07:35:42Z,35.03,69.63,Rainy
3,2024-01-26T20:26:32Z,3.19,17.84,Cloudy
2,2024-01-29T08:40:50Z,26.37,40.15,Snowy
5,2024-01-30T23:22:32Z,35.82,65.02,Rainy
6,2024-01-25T15:03:18Z,10.77,33.86,Snowy
3,2024-01-10T20:51:34Z,0.58,68.61,Snowy
8,2024-01-03T21:58:09Z,-6.44,21.43,Cloudy
5,2024-01-09T12:25:47Z,28.32,33.37,Cloudy
7,2024-01-10T09:38:48Z,13.77,98.66,Snowy
1,2024-01-23T00:49:08Z,-5.82,0.22,Rainy
6,2024-01-22T15:08:15Z,35.67,49.32,Sunny
8,2024-01-28T05:40:33Z,26.12,77.37,Snowy
6,2024-01-12T22:36:25Z,11.03,91.82,Rainy
3,2024-01-18T02:02:21Z,-2.44,59.95,Rainy
1,2024-01-17T12:53:15Z,23.19,88.86,Cloudy
6,2024-01-23T22:04:57Z,23.77,38.06,Cloudy
2,2024-01-22T13:19:39Z,7.83,61.54,Cloudy
6,2024-01-09T02:28:53Z,9.56,62.07,Cloudy
